# Generated by get-clean-log.py ($Revision: 0.1$) on Tue February 20, 2007, at 09:48:14 PM 
# Authors: Alexandru Iosup and Mathieu Jan ({A.Iosup|M.Jan} at tudelft.nl)

# Format: JobID<TAB>StartTime<TAB>StopTime

840	1081771500	-1
841	1084363551	1084364024
846	1084364100	-1
847	1084364220	-1
2255	1085727060	-1
2256	1085727107	1085727156
2286	1085785200	-1
2287	1085785200	-1
2291	1085886000	-1
2292	1085799655	1085842903
2293	1085886051	1085929299
2338	1085842800	-1
2339	1085842800	-1
2340	1085844600	-1
2341	1085844651	1085884306
2342	1085931053	1085970701
2372	1086037313	1086040934
2373	1086040936	1086044556
3393	1088218812	1088262043
3394	1088305213	1088348459
3448	1087941600	-1
3711	1088578800	-1
3712	1088578811	1088589536
4027	1089185400	-1
4028	1089185400	-1
4029	1089185400	-1
4065	1089428447	1089514894
4066	1089514800	-1
4067	1089515450	1089601898
4803	1091088017	1091131269
5180	1092987035	1093073468
5257	1093075244	1093161681
5307	1093168844	1093212092
5564	1094112000	-1
5707	1094720400	-1
5708	1094720400	-1
5811	1095076800	-1
5812	1095076804	1095687060
5854	1095145215	1095152497
5899	1095145200	-1
6016	1095152700	-1
6120	1095679836	1095679846
6121	1095679836	1095679860
6122	1095679836	1095679860
6123	1095679836	1095679854
6124	1095679836	1095679845
6125	1095679838	1095679851
6126	1095679838	1095679854
6127	1095679838	1095679857
6128	1095679836	1095679849
6129	1095679836	1095687038
6130	1095679800	-1
6131	1095679838	1095679859
6132	1095679838	1095679844
6133	1095679838	1095679872
6134	1095679838	1095679861
6135	1095679838	1095679864
6136	1095679838	1095679857
6137	1095679840	1095679853
6138	1095679840	1095679869
6139	1095679840	1095679874
6140	1095679840	1095679872
6141	1095679840	1095679871
6142	1095679838	1095679863
6143	1095679841	1095679859
6144	1095679840	1095679849
6145	1095679838	1095679856
6146	1095679800	-1
6147	1095679841	1095679850
6148	1095679841	1095679856
6149	1095679841	1095679859
6150	1095679840	1095679860
6151	1095679841	1095679851
6152	1095679843	1095679871
6153	1095679800	-1
6154	1095679843	1095679874
6155	1095679843	1095679874
6156	1095679843	1095687140
6157	1095679843	1095679860
6158	1095679844	1095679850
6159	1095679843	1095679861
6160	1095679843	1095679857
6161	1095679843	1095679861
6162	1095679843	1095679860
6163	1095679843	1095679871
6164	1095679844	1095679850
6165	1095679843	1095687141
6166	1095679843	1095679872
6167	1095679843	1095679874
6168	1095679843	1095679871
6169	1095679843	1095679860
